gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
mtss-1,477,397,406,248,36,61,7,8
aak-1,611,464,310,128,26,46,8,4
mig-22,1085,1446,679,292,72,96,33,33
cpi-2,1800,7031,1988,445,40,34,47,47
R01B10.2,2,0,0,0,1,1,1,1
R01B10.4,75,79,40,8,1,4,1,2
jamp-1,283,391,271,61,26,16,2,2
R01B10.6,428,304,368,193,20,23,8,2
odr-1,0,6,0,0,1,1,1,1
cah-4,0,0,0,1,1,1,1,1
acr-12,6,1,0,2,1,1,1,2
R01E6.5,0,0,0,1,1,1,1,1
R01E6.7,14,47,3,6,1,1,1,1
div-1,417,2910,812,124,108,81,125,139
cor-1,1,0,0,1,1,1,1,1
R01H10.4,8,2,1,0,1,1,1,1
rip-1,24,9,33,7,2,1,1,1
bbs-5,7,5,7,0,1,1,1,1
R01H10.7,199,289,131,68,75,85,117,117
cnk-1,221,379,147,64,57,63,4,9
egg-2,1279,984,315,189,44,76,2,4
R01H2.4,1,1,2,0,1,2,1,1
ger-1,111,379,141,24,10,10,11,10
ubc-18,1948,3676,2008,708,107,111,116,91
R01H2.7,0,0,1,1,3,1,1,1
R01H2.8,0,16,0,0,1,1,1,1
R02C2.1,0,2,2,0,1,1,1,1
kin-34,15,8,8,10,1,2,1,1
nhr-204,1,14,9,0,1,1,1,1
R02C2.6,18,32,40,4,6,3,2,1
aass-1,9,42,25,4,5,3,4,2
cogc-8,1378,1737,907,362,66,89,88,92
gtf-2H1,572,1037,463,249,45,34,27,15
R02D3.4,1278,2083,1075,400,93,67,60,76
fnta-1,664,1674,811,229,46,46,82,49
grl-19,2,0,0,0,1,1,1,1
R02D3.7,1769,2705,1458,600,189,135,119,167
R02D3.8,480,589,399,211,18,22,15,13
R02D5.1,20,91,39,1,1,2,1,2
R02D5.3,4,4,6,0,1,1,1,1
R02D5.8,251,184,230,151,13,9,1,2
mop-25.1,191,710,329,59,49,53,70,56
hrg-1,9,11,12,2,1,1,1,1
R02F11.3,77,87,63,7,6,8,5,2
R02F11.4,684,1414,599,221,88,71,116,93
R02F11.9,0,0,0,1,1,1,1,1
R02F2.1,1358,2531,1020,252,33,84,37,77
osg-1,17,18,5,8,6,4,1,1
R02F2.4,1895,1434,882,597,53,50,1,3
R02F2.7,531,387,360,179,49,39,1,4
R02F2.9,484,692,325,186,21,21,5,5
blos-8,204,330,296,94,7,8,12,11
mocs-1,7,7,2,0,1,2,1,1
nkat-3,757,558,545,218,21,19,8,8
cog-1,5,0,1,1,1,1,1,1
metr-1,2091,2195,1093,607,164,258,1,26
R03D7.15,4,3,0,0,1,1,1,1
R03D7.2,1,8,4,1,1,1,1,1
tceb-3,1389,2595,992,298,88,115,66,83
R03D7.5,1,2,1,1,1,1,1,1
gst-5,41,68,28,15,3,2,1,1
nos-1,873,828,603,261,41,57,1,13
sym-4,719,1026,514,169,62,65,4,15
vha-20,599,998,552,135,26,18,29,36
lgc-25,0,2,0,0,2,1,1,1
mdl-1,1,15,16,0,1,3,1,1
R03E9.2,2,6,1,0,1,4,3,1
abts-4,100,70,43,11,4,3,1,2
eef-1A.2,247,250,151,79,12,23,2,3
sek-1,29,67,22,12,2,8,1,1
R03G5.6,26,79,23,7,2,1,1,1
