gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
2L52.1,46,35,10,11,23,12,9,9
rga-9,24,45,54,19,17,30,4,2
pot-3,271,329,149,81,15,10,4,14
soc-2,164,196,159,45,10,12,1,2
AH10.2,1,0,3,0,1,1,1,1
mex-6,5771,12005,5016,1275,464,490,88,91
AH9.1,7,18,3,1,1,3,1,1
crn-4,594,476,501,177,27,26,2,8
AH9.3,231,706,146,82,9,13,13,21
AH9.4,0,2,0,0,1,1,2,1
lin-24,1092,725,754,444,62,48,1,2
B0001.2,1954,1799,832,489,131,149,11,18
B0001.3,505,750,397,148,20,24,11,11
B0001.4,581,570,481,195,63,78,3,3
B0001.5,392,785,375,128,36,26,15,14
eri-12,892,1206,704,176,42,42,31,23
B0001.7,948,2974,1142,269,151,139,137,121
B0001.8,806,1784,756,200,59,65,80,82
amx-2,0,0,8,0,2,1,1,1
B0019.2,771,673,546,327,88,80,13,14
asps-1,1427,1451,828,407,59,48,5,12
B0024.11,999,1470,742,274,50,53,15,37
gna-1,37,42,37,4,1,1,2,2
B0024.13,1310,1209,1169,589,57,52,2,5
crm-1,27,41,12,5,2,1,1,2
B0024.3,5,18,22,1,1,2,1,1
che-12,3,19,1,0,1,2,1,1
trx-2,162,171,202,109,5,15,1,3
vps-34,345,382,184,111,42,32,3,9
csn-2,1210,2518,1291,399,139,111,106,108
B0025.4,807,933,634,238,53,38,69,61
casy-1,102,111,29,21,10,14,4,6
B0034.4,1,0,1,0,1,1,1,1
B0034.5,3,8,6,0,1,1,1,1
leo-1,1286,3356,1593,398,149,113,144,128
sart-3,919,1049,387,240,116,165,12,10
dnj-1,253,235,152,70,10,15,3,1
B0035.15,674,481,377,289,38,39,1,5
mttu-1,294,203,189,52,5,14,3,3
B0035.18,162,128,238,144,7,9,3,5
znf-207,2489,4227,1877,711,111,83,42,54
dnj-2,416,386,342,134,24,31,1,3
B0035.21,2,2,0,1,1,1,1,1
B0035.3,1848,1799,1450,825,42,44,3,4
pfd-4,412,498,403,199,25,30,12,13
gspd-1,839,603,438,174,21,32,7,8
edg-1,1867,3270,1659,530,141,177,78,87
his-48,255,312,207,112,57,54,4,12
B0041.11,55,31,11,12,1,3,1,1
ain-2,213,1013,197,60,101,119,136,116
lmd-2,180,269,154,109,10,10,3,2
rpl-4,1903,1211,1358,822,32,49,1,2
B0041.5,1872,1359,1116,468,75,75,14,16
ptps-1,72,66,32,34,3,1,2,5
xnp-1,1177,1630,733,368,123,75,79,111
B0041.8,2375,1956,1701,707,72,64,38,56
bath-24,33,16,22,4,2,1,1,1
math-1,11,0,0,0,2,1,1,1
tsp-20,17,17,5,0,1,2,1,1
B0198.2,7,11,0,0,1,1,1,1
B0198.3,1,0,0,0,1,1,1,1
mrpl-9,877,959,941,372,26,26,9,8
B0205.12,13,13,68,35,1,2,1,1
B0205.13,4,0,0,0,1,1,1,1
B0205.14,1,0,0,0,1,1,1,1
B0205.1,624,1476,528,191,101,71,66,77
rpn-10,2281,7461,2337,763,149,112,328,318
B0205.6,365,1223,382,114,31,19,40,33
kin-3,1018,4809,1472,297,195,213,44,78
B0205.8,542,919,428,150,18,21,48,25
B0205.9,1048,2487,806,237,80,80,101,129
avr-14,7,7,2,0,1,1,2,2
B0207.2,13,24,3,5,4,2,1,3
gpa-14,1,3,0,0,1,1,1,1
air-2,1023,2821,1114,206,80,57,73,64
B0207.5,3,1,2,0,1,1,1,1
B0207.6,712,708,377,199,33,37,7,2
otpl-1,3,7,4,1,2,1,1,1
B0212.3,280,1370,367,103,42,17,36,37
nstp-6,58,42,15,2,1,2,4,2
osm-9,1,0,0,0,1,1,1,1
cyp-34A6,8,4,0,1,1,1,1,1
cyp-34A8,1,0,0,0,1,1,1,1
nlp-31,0,1,0,0,1,1,1,1
faah-1,30,26,27,12,2,3,1,1
faah-2,35,68,17,8,7,2,3,4
pmk-1,171,220,111,58,20,23,5,5
B0222.1,0,0,5,0,1,1,1,1
gad-3,0,3,0,0,2,3,3,1
cpna-2,0,1,0,0,3,1,1,1
B0228.6,46,44,73,5,8,3,1,1
B0228.7,123,117,74,32,5,5,3,1
B0238.1,3,21,21,4,1,3,3,3
natc-2,872,926,718,312,29,51,31,28
B0238.11,1271,1367,1179,508,75,89,8,50
B0238.15,49,69,20,19,2,1,1,1
B0238.9,783,1464,523,214,53,79,2,20
rhr-2,6,0,0,0,1,1,1,1
spe-42,0,11,1,0,1,1,1,1
npp-22,3684,5652,3049,1092,175,169,66,87
B0244.17,0,0,1,0,1,1,1,1
ida-1,0,9,0,0,3,1,1,1
egg-1,2324,2912,645,342,108,129,2,9
B0244.9,0,1,3,0,1,1,1,1
rpl-2,1178,816,1039,501,53,44,1,7
calf-1,0,9,0,0,1,1,1,1
B0250.5,678,887,570,171,24,37,5,4
B0250.7,0,3,2,0,1,1,1,1
dhcr-7,18,23,13,2,3,1,1,2
asm-1,0,1,0,0,1,1,1,1
B0252.3,10,10,2,5,1,2,1,2
cyn-10,1067,1759,1093,405,41,58,41,40
B0261.1,1125,1251,644,309,112,101,36,41
let-363,1328,3294,1165,472,410,371,142,106
mrpl-47,419,379,304,211,15,26,1,3
B0261.6,1,6,0,0,1,1,1,1
B0261.7,4185,3628,2975,1464,91,100,6,20
B0261.8,64,67,89,16,5,6,3,7
B0261.9,2,8,2,2,1,1,1,1
tbb-4,0,0,1,0,1,1,1,1
memb-1,200,751,340,55,16,8,19,25
B0272.3,1583,3366,1480,559,50,37,106,77
B0273.1,0,5,1,0,1,1,1,1
puf-7,3249,3986,2251,837,108,136,15,32
snpc-3.1,61,53,27,17,1,3,2,1
unc-5,130,211,114,31,8,13,5,11
pot-1,204,157,143,54,14,21,3,8
glr-2,0,2,0,0,1,1,1,1
B0280.17,5,1,0,0,1,1,1,1
ggtb-1,2099,3490,1551,526,35,42,60,90
rpia-1,596,469,439,185,14,24,2,4
odd-1,0,1,0,2,1,1,1,1
cpg-2,17471,14123,2401,2202,502,917,4,153
nhr-10,195,593,205,37,19,14,40,34
B0280.9,1132,1335,875,373,62,85,28,20
B0281.4,1,10,4,0,1,1,1,1
B0281.5,129,215,135,24,11,17,1,6
B0281.8,1,0,0,0,1,1,1,1
pals-27,1,0,0,0,1,1,1,1
B0284.3,0,2,1,0,1,1,1,1
cdk-12,359,1052,378,108,169,148,124,136
B0285.3,747,970,433,230,31,26,13,13
lcmt-1,763,1872,673,232,55,58,85,69
hse-5,1208,2015,843,280,92,80,7,15
mnp-1,12,40,15,3,1,1,5,2
ckb-1,37,30,4,3,2,4,5,2
ckb-2,241,544,335,114,27,28,31,49
B0286.1,4,1,0,5,1,1,1,1
pacs-1,20,87,37,3,2,1,3,1
ntl-2,760,1311,497,204,55,59,31,19
try-9,0,0,0,1,1,1,1,1
sid-3,461,824,372,167,66,68,17,21
B0302.2,0,3,0,0,1,1,1,1
B0303.11,2,3,1,2,1,1,1,1
B0303.14,69,85,69,15,3,9,3,3
mrpl-11,497,340,333,205,54,48,4,4
anmt-1,1,0,4,0,1,1,1,1
B0303.3,1644,8406,2070,457,137,103,167,181
B0303.4,1149,1511,750,274,150,129,11,17
B0303.7,278,748,402,86,36,24,13,17
sdz-1,0,0,1,0,1,1,1,1
vps-33.1,280,280,127,56,15,6,1,1
hlh-1,0,1,2,1,1,1,1,1
B0304.2,987,920,599,313,32,28,4,6
B0304.4,313,328,331,153,11,7,10,5
sra-32,67,16,30,7,2,5,1,1
sra-33,3,0,2,0,1,1,1,1
sra-35,4,0,1,3,1,1,1,1
B0310.2,39,149,49,5,4,5,6,12
cyp-29A4,0,3,0,0,1,1,1,1
ooc-3,979,1735,872,320,77,88,52,50
B0334.13,2,1,0,1,1,1,1,1
emc-5,225,268,162,42,30,24,17,17
twk-5,14,8,4,0,1,1,1,1
B0334.3,900,1482,710,346,47,59,17,26
B0334.4,1859,1932,1450,589,131,136,22,33
B0334.5,828,709,332,131,34,39,1,3
B0334.6,9,11,5,0,1,1,2,1
age-1,1260,3955,1042,368,166,154,163,137
rpl-23,1953,1787,1524,792,32,66,1,1
hpo-28,6,3,1,0,1,2,1,1
B0336.13,704,1379,821,320,34,26,35,15
wrm-1,156,625,216,33,37,30,28,32
arf-1.2,921,5627,1047,147,81,96,90,113
rbm-26,569,1277,711,177,308,273,217,211
rgs-5,137,403,163,45,4,10,7,1
arle-14,954,2484,985,349,41,32,46,51
abi-1,4311,3246,2187,1355,192,225,1,7
B0336.7,783,683,440,296,49,55,3,10
lgg-3,801,769,583,325,25,23,4,5
swp-1,613,770,324,131,15,36,53,39
egl-8,139,136,69,29,13,19,1,7
B0348.5,6,1,0,1,1,1,1,1
ife-3,764,1251,731,299,87,128,41,45
unc-44,271,829,320,93,50,57,13,20
B0353.1,49,73,60,18,5,8,5,1
ykt-6,323,1733,511,73,27,33,80,69
B0361.2,831,2316,770,280,77,67,97,81
B0361.3,885,1183,573,266,55,42,48,43
B0361.4,0,2,0,0,1,1,1,1
psd-1,831,887,576,202,46,42,5,8
B0361.6,1069,786,668,429,63,92,3,2
pho-5,624,745,508,264,20,25,1,1
algn-11,2419,4934,1385,619,74,121,83,71
B0361.9,43,147,42,4,3,1,2,8
acly-2,836,804,268,203,73,62,1,7
eat-6,6410,6884,4534,1894,440,673,7,103
dhc-3,0,0,2,0,1,1,1,1
B0379.1,1,0,0,1,1,1,1,1
mut-16,1323,3408,1339,445,304,248,241,260
scpl-1,387,855,223,48,30,40,1,1
fbxa-153,219,185,156,71,5,15,4,1
fbxa-139,2,2,1,0,1,1,1,1
rps-0,1299,992,1021,528,36,54,3,5
rbg-3,3057,4515,2239,850,223,184,21,18
B0393.3,6364,14711,4886,936,322,339,723,570
B0393.4,0,1,4,0,1,2,1,1
B0393.5,24,29,30,4,3,4,1,3
B0393.6,1212,4892,1813,374,122,91,83,107
B0393.9,28,33,35,22,1,1,1,3
B0395.3,297,222,211,104,11,30,2,3
ubc-17,0,1,0,0,1,3,1,1
B0403.3,0,2,0,0,1,1,1,1
pdi-6,1937,5044,2092,473,83,77,135,162
vang-1,296,662,334,85,38,34,52,42
B0410.3,0,0,3,0,1,1,1,1
daf-7,0,3,0,0,1,1,1,1
trpp-11,889,1714,729,317,48,75,31,27
rps-29,722,644,639,306,2,6,1,3
srz-4,0,2,1,0,1,1,1,1
rnt-1,0,6,4,2,3,1,7,1
hil-5,8743,10072,7594,2771,270,295,98,110
cpb-3,1543,1845,1278,396,155,230,13,61
glh-3,454,1087,439,132,57,55,43,30
mtk-1,2050,2237,1177,452,218,230,123,143
vps-51,1169,1253,767,375,47,70,2,15
B0416.10,1,3,0,0,1,1,1,1
tmc-2,3,7,0,0,1,1,1,1
B0416.4,873,1528,684,246,32,13,16,7
B0416.5,1606,2256,1639,372,70,83,47,57
gly-13,368,757,378,96,20,24,2,9
B0432.1,81,85,28,16,2,1,1,11
B0432.10,531,429,301,161,13,18,7,7
trul-1,589,1011,397,172,49,41,33,17
B0432.14,1,5,14,1,1,1,1,1
djr-1.1,775,1235,689,302,52,44,29,21
mrpl-41,174,96,147,57,8,8,1,4
misc-1,566,1928,666,143,56,61,74,77
B0432.7,76,322,113,33,83,40,50,42
B0432.8,78,171,41,6,28,24,6,10
B0432.9,30,27,17,3,2,5,1,1
lin-8,505,557,322,129,28,33,18,13
B0454.6,9,11,10,2,1,1,1,1
lido-13,306,233,164,150,5,13,2,7
lat-1,2290,3726,1709,469,272,406,201,165
B0457.4,0,1,0,0,1,1,1,1
B0457.6,0,1,2,2,2,1,1,1
fbxb-119,1,0,0,0,1,1,1,1
dars-1,3506,4912,3085,1188,128,168,25,24
ctr-9,2233,3882,1326,749,321,234,231,201
nlp-36,204,217,356,136,5,3,10,11
bre-3,508,698,403,129,70,79,2,4
spk-1,1147,1842,627,348,174,196,4,10
B0464.6,2054,4279,1890,680,167,176,118,163
baf-1,897,2012,830,286,24,46,69,70
tag-342,935,1570,864,235,50,65,121,75
B0464.9,1014,1535,830,319,62,60,23,31
jnk-1,1,2,0,5,2,1,1,1
B0491.1,75,192,66,18,26,36,1,4
lgc-20,0,5,0,0,1,1,2,1
B0491.5,2393,3209,2289,902,57,74,8,7
B0491.6,618,807,495,207,31,27,22,27
B0491.7,245,197,103,57,25,16,2,4
clh-2,10,13,1,3,3,1,1,1
cpna-5,0,1,0,0,2,1,1,1
cdk-11.1,500,1884,672,251,95,91,108,74
nhx-2,8,12,5,8,4,1,1,2
B0495.5,263,421,180,85,9,15,15,11
moa-2,516,586,539,325,16,21,14,21
B0495.7,963,2753,1150,291,164,171,65,71
B0495.8,1630,2925,891,375,104,62,82,79
B0495.9,893,2116,831,382,29,19,16,12
unc-82,0,1,0,0,1,4,1,1
tes-1,49,273,108,23,11,9,15,18
B0507.1,4,32,1,3,1,1,1,1
B0507.2,128,115,72,41,3,12,2,2
B0507.3,0,4,0,0,1,1,1,1
B0507.6,0,0,1,0,1,1,1,1
fkb-7,21,27,22,4,2,3,2,2
eif-3.E,131,180,191,109,61,91,35,38
B0511.11,12,33,17,5,1,1,1,2
B0511.12,2465,3500,1552,685,274,333,17,34
B0511.13,321,586,265,104,5,9,5,2
B0511.19,1092,1306,710,297,27,24,3,5
B0511.2,38,55,37,31,3,2,1,1
cutl-14,2,8,3,0,1,1,1,2
B0511.6,798,540,461,251,25,50,3,6
B0511.7,1365,1176,1096,521,79,75,64,59
mrps-30,1073,1825,561,254,52,45,6,9
cdc-26,252,401,266,85,66,62,9,10
lin-66,217,552,303,61,77,68,46,34
thoc-7,972,1021,788,584,31,30,24,34
rpl-29,155,131,282,151,24,21,1,2
B0513.4,1,0,0,0,1,1,1,1
prdh-1,7,2,0,0,1,2,1,1
pgl-2,442,482,333,128,22,43,10,7
fli-1,445,1270,419,109,132,102,76,103
B0524.4,0,0,1,0,1,1,1,1
B0524.6,93,48,54,16,34,29,1,3
tpa-1,27,50,29,11,8,5,3,4
mai-2,701,758,668,407,40,37,12,17
otub-4,2071,4258,1457,311,76,76,102,87
B0546.3,24,21,13,1,12,8,4,1
B0546.4,71,147,50,52,10,6,5,3
csn-5,1101,797,629,346,48,42,7,8
B0554.2,0,1,0,0,1,1,1,1
B0554.7,0,1,0,0,1,1,1,1
B0563.1,0,2,0,2,2,1,1,1
tmbi-4,479,630,305,137,9,6,3,1
B0563.6,0,9,1,0,1,1,1,1
B0563.8,3,5,5,0,1,1,3,1
rde-11,312,421,282,50,18,9,38,29
exos-4.1,783,616,654,335,10,19,1,1
tin-9.2,157,323,133,63,13,8,1,1
B0564.2,176,228,123,62,2,5,6,4
best-1,0,1,0,0,1,1,1,1
B0564.7,777,644,612,258,51,58,2,4
BE0003N10.1,278,409,130,92,25,26,11,21
chin-1,505,703,337,148,59,77,2,10
BE0003N10.3,56,55,27,15,3,2,1,1
BE0003N10.6,16,40,19,4,1,2,1,1
BE10.3,1,2,1,0,2,1,1,1
BE10.4,4,1,0,0,1,1,1,1
C01A2.2,18,10,15,12,1,2,1,1
oxa-1,312,257,202,79,6,15,1,1
C01A2.4,482,317,352,234,20,18,7,4
tads-1,1254,1803,916,419,46,62,8,8
C01A2.6,0,0,2,0,1,1,1,1
nlp-38,2,5,9,0,1,1,1,1
C01B10.3,21,10,1,5,1,1,1,3
C01B10.4,0,6,0,0,1,1,1,1
hil-7,0,1,0,0,1,1,1,1
C01B10.7,0,0,0,1,1,1,1,1
C01B10.8,1112,2445,1109,326,97,105,124,107
C01B10.9,567,765,412,125,51,42,56,62
sqt-2,2,1,3,1,1,1,1,1
gmeb-1,136,198,120,41,8,14,1,1
osta-1,0,4,0,0,1,1,1,1
C01B12.8,507,647,587,337,30,38,14,9
sup-37,62,180,113,39,13,22,4,4
magu-2,87,95,82,32,5,6,8,7
rpm-1,69,86,68,16,5,7,1,2
clc-2,34,44,51,16,3,3,1,1
acl-12,89,75,59,15,3,6,4,1
clc-5,23,19,32,12,2,2,1,1
C01C4.3,0,0,0,1,1,1,1,1
ark-1,359,895,340,89,84,68,22,40
gtf-2F1,1036,1678,704,327,49,54,53,64
sco-1,580,518,297,167,36,42,2,7
C01F1.3,0,4,0,0,1,1,1,1
C01F1.4,19,24,14,5,1,2,1,1
C01F1.6,1191,1261,718,252,74,93,14,9
rga-6,5,2,1,0,1,1,1,1
cpna-3,1220,4181,1487,296,195,122,118,146
C01F6.14,0,0,11,0,1,1,1,1
C01F6.2,36,19,14,3,2,1,2,1
fem-3,1899,2648,1375,417,61,80,31,25
aly-1,261,159,237,130,19,13,5,2
nrfl-1,7,16,21,0,4,6,3,3
icln-1,640,587,408,301,53,44,5,18
C01F6.9,502,375,587,280,37,47,1,3
C01G10.10,297,375,234,128,11,14,1,2
unc-76,1295,1872,740,287,79,67,3,4
dnj-3,100,75,77,43,4,5,1,2
C01G10.15,0,4,3,0,1,1,1,1
C01G10.7,606,509,332,204,29,41,1,3
ahsa-1,2982,6497,2966,992,95,138,44,32
C01G10.9,18,38,52,5,1,2,1,1
madf-5,91,182,108,21,6,2,4,10
C01G12.3,122,179,113,42,2,2,2,2
catp-4,1,11,0,1,1,1,1,1
C01G5.5,451,1932,630,179,20,26,47,47
ddi-1,1555,1337,894,422,70,75,5,6
fan-1,1201,1648,716,298,62,72,23,26
C01G5.9,8,13,2,2,1,1,1,2
aqp-2,7,4,4,3,6,1,1,1
C01G6.2,14,7,8,3,1,1,1,1
C01G6.3,4130,6697,3896,1099,136,166,378,330
C01G6.4,207,460,210,42,33,29,2,1
C01G6.5,1488,2793,1108,314,385,355,306,316
mtrr-1,2136,1582,1190,655,73,118,12,17
cam-1,1399,3672,1278,243,135,206,205,171
C01G8.1,5243,4954,4083,1790,82,95,1,14
cln-3.2,121,487,205,39,14,12,28,13
dhs-1,1174,2682,996,306,43,50,12,24
dnj-4,339,290,218,62,16,23,2,1
erm-1,562,3220,953,133,138,118,305,215
hpo-32,401,315,179,84,11,12,1,4
let-526,547,1999,724,174,365,284,120,140
mlt-2,4,3,0,0,1,1,1,1
nhr-23,398,802,299,97,47,67,1,4
cnnm-4,1,15,4,0,5,5,6,1
swsn-9,1527,3753,1407,381,177,140,155,146
C01H6.8,2,0,1,0,1,1,1,1
hasp-1,443,767,386,183,49,39,51,35
gst-33,0,4,0,0,1,1,1,1
ivd-1,1275,1564,845,434,50,70,7,9
snpn-1,427,508,412,202,33,19,20,12
C02B10.4,1604,1211,1552,669,125,122,54,42
C02B10.5,290,547,226,72,39,38,7,8
adt-1,0,0,1,0,1,1,1,1
nhr-17,190,154,129,42,12,8,3,1
C02B8.1,0,6,0,1,1,1,1,1
fbxc-38,0,0,2,0,1,1,1,1
frpr-1,0,2,0,0,1,2,1,1
C02B8.6,54,149,43,10,3,10,1,1
tyr-1,0,3,0,0,1,1,1,1
slc-17.3,2,2,0,0,1,1,1,1
sup-18,17,4,4,1,1,1,1,1
dyn-1,563,728,316,145,58,94,2,11
olrn-1,3,11,2,0,3,3,1,1
lron-3,34,44,30,15,2,7,1,1
C02D5.2,9,10,6,6,3,1,2,2
C02D5.4,749,1053,735,238,25,16,39,45
nra-4,919,2920,1269,297,132,153,145,146
tag-52,600,1630,708,235,67,58,16,27
tag-278,34,16,29,2,1,5,5,3
C02F12.8,332,1070,360,100,37,32,66,66
ced-5,1575,1571,970,340,154,189,9,35
tax-6,32,63,24,4,4,9,2,4
knl-1,1533,3774,1361,388,221,162,288,268
C02F5.10,18,39,13,8,2,2,1,3
C02F5.12,198,178,138,96,1,3,5,1
C02F5.13,966,1597,855,249,44,28,42,62
C02F5.3,588,708,491,206,24,45,3,5
cids-1,1282,967,787,391,64,49,26,23
henn-1,533,1545,529,154,42,39,51,47
fbxl-1,69,67,9,13,1,3,1,1
pbs-6,2485,6942,3321,1017,115,89,144,131
dyf-11,10,5,2,1,1,1,1,1
npr-19,0,2,2,0,1,1,1,1
aex-3,40,7,0,0,1,3,1,1
C03A3.2,697,904,654,156,48,34,3,3
C03B1.10,1,0,1,2,1,1,1,1
lmp-1,1435,5244,2450,382,89,85,138,159
C03B1.7,73,149,70,29,12,9,5,8
C03B8.2,2,2,0,0,1,1,1,1
C03B8.3,4,17,4,1,1,1,1,1
lin-13,920,2622,1068,338,227,217,145,136
kin-19,1033,4330,1409,286,245,223,35,38
C03C10.2,1,0,2,1,1,1,1,1
rnr-2,7486,32615,12535,2551,874,999,1609,1395
rei-1,1318,3298,1290,413,48,60,85,57
C03C10.7,0,2,0,1,1,1,1,1
fog-3,22,30,19,0,1,3,3,1
C03D6.1,2,8,4,0,1,3,1,1
cel-1,757,2186,762,186,90,89,86,80
npp-14,1392,4862,1532,413,391,294,342,316
asfl-1,1103,1734,617,285,47,31,20,16
lab-1,736,969,424,197,16,29,10,14
rpl-24.2,384,233,325,204,30,31,1,1
C03D6.9,4,7,5,27,1,2,1,2
C03E10.3,0,5,0,0,1,1,1,1
gly-20,1418,1727,967,340,126,171,3,9
C03F11.4,0,1,6,0,1,2,1,1
sdha-1,364,1508,568,205,66,57,23,18
srp-6,23,40,9,8,6,2,1,1
srx-56,0,0,1,0,1,1,1,1
C03H12.1,282,449,193,106,8,11,1,5
nstp-4,922,693,357,170,45,48,3,4
C03H5.3,585,906,397,209,22,33,5,4
C03H5.5,24,41,12,2,1,2,2,1
C03H5.6,0,6,0,0,2,1,1,1
C04A11.2,184,235,152,59,15,17,2,4
gck-4,525,465,264,127,87,106,3,16
adm-2,459,505,317,137,17,48,4,8
tbc-6,34,59,33,6,2,5,1,2
C04A2.15,0,1,0,0,1,1,1,1
egl-27,276,1213,312,100,139,78,23,30
dnj-5,4038,8105,4140,1098,594,579,183,180
C04B4.2,2189,2016,1488,516,120,144,1,10
arrd-25,101,292,141,21,21,11,35,22
lgc-9,7,7,0,0,1,3,1,1
pdhb-1,1374,1096,753,273,70,98,3,10
C04C3.4,0,3,0,1,1,2,1,1
pac-1,532,1843,539,148,152,103,41,61
scrm-3,10,16,2,0,1,2,1,1
C04E6.11,1060,1642,517,217,62,77,2,7
C04E6.12,0,3,2,0,1,1,1,1
C04E6.13,2,0,4,0,1,1,1,1
C04E6.7,4,6,0,0,4,2,1,1
sor-3,501,554,315,117,43,33,38,38
C04E7.3,1,3,0,0,1,1,1,1
lim-7,0,12,2,0,1,1,1,1
C04F12.1,1266,1060,621,297,87,119,13,24
fce-1,1304,941,859,433,69,74,5,11
ikb-1,0,6,0,0,1,1,1,1
rpl-14,235,167,190,114,12,13,1,1
C04F12.5,168,133,189,70,13,14,3,1
C04F12.7,0,3,0,0,1,1,1,1
C04F12.8,1,1,0,0,1,2,1,1
rnh-1.3,0,3,7,0,1,1,1,1
sid-1,545,1827,580,173,37,43,11,12
C04F5.8,774,819,682,313,43,57,4,7
C04F5.9,493,479,343,130,42,28,4,13
vit-5,1,0,2,0,1,2,1,1
cht-1,164,665,265,64,22,13,43,32
unc-78,380,504,406,107,16,18,17,20
dhs-27,176,114,105,56,16,12,1,1
C04G2.10,0,1,0,0,1,1,1,1
ttr-39,0,0,2,1,1,1,1,1
ttbk-5,4,1,0,0,1,1,1,1
dis-3,1059,2316,894,313,139,136,106,139
spch-1,0,0,0,1,1,1,1,1
C04G6.10,1,0,0,0,1,1,1,1
pld-1,526,571,332,160,64,92,4,12
C04G6.4,534,579,357,179,27,22,4,9
C04G6.7,2,10,4,0,1,1,1,1
C04H5.1,1,5,4,8,9,14,1,3
gcy-29,0,0,0,30,1,1,1,1
mog-4,642,1479,524,209,117,61,106,96
pph-1,14,16,12,0,1,1,3,3
lip-1,72,147,61,13,19,30,1,3
C05B5.11,9,0,0,2,1,1,1,1
C05B5.4,29,5,18,5,2,1,1,1
rgs-1,1,20,9,0,4,1,1,1
C05B5.8,2,23,4,0,1,1,4,1
pho-10,0,0,10,0,1,1,1,1
C05C10.2,985,2688,1027,335,254,225,137,154
C05C10.3,2019,2336,1200,573,84,88,11,20
pho-11,4,5,12,0,1,1,3,1
C05C10.5,5205,10925,5323,1316,231,222,391,379
ufd-3,4790,15001,4125,1144,407,353,438,494
C05C10.7,80,211,55,18,2,3,1,2
C05C12.6,10,5,3,0,1,1,1,1
C05C8.1,564,532,334,161,17,22,14,11
krr-1,757,745,365,230,52,35,22,14
fkb-3,17,18,3,0,1,3,1,1
gei-6,1314,1589,844,411,133,123,29,51
C05C8.5,1370,1274,932,374,55,78,21,28
hpo-9,1604,906,942,615,76,101,1,6
C05C8.7,0,5,7,0,2,1,2,1
hyls-1,464,1057,462,166,26,27,23,27
attf-4,83,549,175,29,31,25,37,18
mapk-15,7,6,10,12,1,1,3,1
wht-1,0,0,0,1,1,1,1,1
C05D10.4,27,63,21,10,1,6,1,2
C05D11.1,1521,2346,1277,522,127,174,16,38
mrps-17,320,200,191,150,13,13,5,2
mel-32,3898,8066,3557,1334,175,204,199,180
let-721,1387,4502,1747,335,189,143,177,207
C05D11.13,40,31,21,12,2,3,1,1
vps-16,1386,2160,894,405,73,78,13,15
txdc-9,1296,1140,947,473,41,69,39,30
let-756,0,7,2,0,2,3,1,1
C05D11.5,2,31,4,1,1,1,1,2
nas-4,2,14,0,0,1,1,1,1
atgl-1,1112,2789,1039,245,138,146,140,162
C05D11.8,26,39,26,3,24,24,7,5
C05D11.9,990,1298,685,319,78,82,25,30
C05D12.5,15,47,44,9,4,3,8,4
C05D2.10,1541,2554,1335,381,54,79,19,43
daf-4,305,1420,414,71,68,44,99,76
bas-1,1,0,0,0,1,1,1,1
xnd-1,2321,2054,1350,707,108,132,4,23
madf-11,806,2299,809,219,101,83,109,111
C05D2.8,0,11,4,0,2,1,1,1
snx-1,525,1548,510,206,49,42,16,20
C05D9.3,0,0,1,2,1,1,1,1
ife-4,111,226,117,33,6,4,8,8
C05D9.7,290,274,257,144,14,7,6,5
lnp-1,341,532,352,95,6,17,6,6
C05E11.3,111,179,160,39,6,2,1,5
srp-2,12,12,19,16,2,3,1,1
srp-1,1,0,0,0,1,1,1,1
icl-1,0,1,0,0,6,1,1,1
C05E7.1,0,1,0,0,1,1,1,1
C05E7.3,5,4,0,1,1,1,1,1
C05G5.1,0,5,0,0,1,1,1,1
C05G5.2,474,487,355,140,19,20,11,12
C05G5.3,4,11,4,0,1,1,1,1
sucl-1,608,1089,678,157,33,58,31,15
nhr-76,7,23,33,7,2,4,1,1
ckk-1,5,16,0,0,1,1,1,1
cdc-48.1,8101,8837,3429,2082,421,639,16,90
C06A1.2,0,2,0,0,1,1,1,1
C06A1.3,0,4,9,5,1,1,1,1
rpb-6,1253,2218,1498,458,61,50,45,45
C06A12.3,6,11,7,1,1,1,1,1
gcy-27,0,0,3,0,1,1,1,1
lact-6,1,0,0,0,1,1,1,1
inst-1,208,497,223,76,254,219,211,239
sir-2.4,363,704,299,88,9,9,25,22
C06A5.12,88,31,60,21,1,7,3,1
C06A5.2,20,18,9,5,3,1,1,1
C06A5.3,2032,1200,620,453,142,143,5,20
C06A5.6,777,848,515,239,94,131,2,5
unc-94,486,677,374,126,65,61,5,9
C06A5.8,637,467,428,327,22,17,1,4
rnf-1,785,1044,743,264,31,27,2,4
C06A6.2,209,625,257,43,23,30,26,34
mvb-12,700,1839,917,225,44,28,77,102
C06A6.4,952,2394,1029,328,90,73,114,81
erp-44.2,112,82,62,34,14,14,1,2
mthf-1,1944,2368,1342,475,111,116,3,6
snpc-1.1,1246,2412,1100,393,89,74,35,53
nlp-77,134,149,122,42,4,4,3,2
skr-17,830,2357,808,256,37,25,56,43
spdl-1,239,161,84,54,18,12,1,1
C06A8.8,0,2,0,0,1,1,1,1
glr-4,0,16,0,0,1,1,1,3
oac-3,0,2,0,0,1,1,1,1
cyp-35C1,0,1,0,0,1,1,1,1
stdh-1,363,268,260,108,17,23,6,6
C06B3.6,92,75,48,36,3,2,7,1
